AEROPORTO III,Hora,Dia,Dia da semana,Temperatura,Umidade Relativa do Ar,Feriados
8.138896227,24,1,3,21.8,88,1
8.563321781,1,1,3,22.15,86.5,1
8.392330217,2,1,3,22.5,85,1
7.265617418,3,1,3,22.85,83.5,1
6.79844389,4,1,3,23.2,82,1
5.711425686,5,1,3,23.55,80.5,1
5.314480972,6,1,3,23.9,79,1
6.404552507,7,1,3,24.25,77.5,1
8.572482085,8,1,3,24.6,76,1
12.6182662,9,1,3,24.95,74.5,1
17.67320609,10,1,3,25.3,73,1
21.00448961,11,1,3,25.65,71.5,1
21.9281497,12,1,3,26,70,1
20.27166786,13,1,3,26.13333333,69.5,1
17.38160429,14,1,3,26.26666667,69,1
15.63046708,15,1,3,26.4,68.5,1
14.01062651,16,1,3,26.53333333,68,1
14.41825833,17,1,3,26.66666667,67.5,1
15.31901779,18,1,3,26.8,67,1
17.85641165,19,1,3,25.93333333,70.66666667,1
17.06404858,20,1,3,25.06666667,74.33333333,1
16.55260024,21,1,3,24.2,78,1
14.18161831,22,1,3,23.33333333,81.66666667,1
12.83658576,23,1,3,22.46666667,85.33333333,1
9.519042826,24,2,4,21.6,89,0
7.114473057,1,2,4,21.91666667,87.25,0
5.117535162,2,2,4,22.23333333,85.5,0
5.149596119,3,2,4,22.55,83.75,0
4.974024391,4,2,4,22.86666667,82,0
4.955703831,5,2,4,23.18333333,80.25,0
5.85035646,6,2,4,23.5,78.5,0
8.302254152,7,2,4,23.81666667,76.75,0
12.49307566,8,2,4,24.13333333,75,0
17.5235888,9,2,4,24.45,73.25,0
22.79074125,10,2,4,24.76666667,71.5,0
27.06095219,11,2,4,25.08333333,69.75,0
28.27468681,12,2,4,25.4,68,0
28.10216875,13,2,4,25.66666667,67,0
25.79530849,14,2,4,25.93333333,66,0
23.79837046,15,2,4,26.2,65,0
19.55411386,16,2,4,26.46666667,64,0
20.18159227,17,2,4,26.73333333,63,0
20.8609786,18,2,4,27,62,0
22.28234663,19,2,4,26.56666667,63.66666667,0
21.23960285,20,2,4,26.13333333,65.33333333,0
20.18922577,21,2,4,25.7,67,0
16.19076972,22,2,4,25.26666667,68.66666667,0
14.36940365,23,2,4,24.83333333,70.33333333,0
11.65185804,24,3,5,24.4,72,0
8.045766687,1,3,5,24.66666667,70.83333333,0
5.581655312,2,3,5,24.93333333,69.66666667,0
5.283946586,3,3,5,25.2,68.5,0
5.007612014,4,3,5,25.46666667,67.33333333,0
5.044252896,5,3,5,25.73333333,66.16666667,0
6.190812898,6,3,5,26,65,0
9.862552643,7,3,5,26.26666667,63.83333333,0
13.56177344,8,3,5,26.53333333,62.66666667,0
17.77702227,9,3,5,26.8,61.5,0
22.96631317,10,3,5,27.06666667,60.33333333,0
26.17545948,11,3,5,27.33333333,59.16666667,0
27.22430992,12,3,5,27.6,58,0
26.4777482,13,3,5,27.83333333,58.33333333,0
25.93423891,14,3,5,28.06666667,58.66666667,0
23.74188223,15,3,5,28.3,59,0
20.78769646,16,3,5,28.53333333,59.33333333,0
22.3846364,17,3,5,28.76666667,59.66666667,0
22.0548667,18,3,5,29,60,0
22.90982447,19,3,5,28.43333333,61.16666667,0
22.46249847,20,3,5,27.86666667,62.33333333,0
20.10678358,21,3,5,27.3,63.5,0
15.77855778,22,3,5,26.73333333,64.66666667,0
13.20452318,23,3,5,26.16666667,65.83333333,0
11.46865268,24,4,6,25.6,67,0
7.827446985,1,4,6,25.63333333,67.41666667,0
6.92668767,2,4,6,25.66666667,67.83333333,0
5.517533422,3,4,6,25.7,68.25,0
5.053413248,4,4,6,25.73333333,68.66666667,0
5.02593255,5,4,6,25.76666667,69.08333333,0
5.604555964,6,4,6,25.8,69.5,0
8.944999743,7,4,6,25.83333333,69.91666667,0
13.13582106,8,4,6,25.86666667,70.33333333,0
19.47014484,9,4,6,25.9,70.75,0
24.29607821,10,4,6,25.93333333,71.16666667,0
27.19377556,11,4,6,25.96666667,71.58333333,0
28.50827341,12,4,6,26,72,0
28.49147987,13,4,6,27.06666667,65.33333333,0
27.29606504,14,4,6,28.13333333,58.66666667,0
26.56477165,15,4,6,29.2,52,0
26.56477165,16,4,6,30.26666667,45.33333333,0
24.25027695,17,4,6,31.33333333,38.66666667,0
23.56783705,18,4,6,32.4,32,0
23.25944176,19,4,6,31.46666667,34.66666667,0
22.72814589,20,4,6,30.53333333,37.33333333,0
20.38311806,21,4,6,29.6,40,0
15.09764452,22,4,6,28.66666667,42.66666667,0
15.05795016,23,4,6,27.73333333,45.33333333,0
11.9083457,24,5,6,26.8,48,0
9.686980963,1,5,7,26.75,48.5,0
7.293098259,2,5,7,26.7,49,0
5.398449945,3,5,7,26.65,49.5,0
5.302267218,4,5,7,26.6,50,0
5.134328961,5,5,7,26.55,50.5,0
5.696158695,6,5,7,26.5,51,0
7.459509921,7,5,7,26.45,51.5,0
10.88850265,8,5,7,26.4,52,0
13.98467255,9,5,7,26.35,52.5,0
21.2411294,10,5,7,26.3,53,0
24.77393875,11,5,7,26.25,53.5,0
26.82889166,12,5,7,26.2,54,0
26.19072685,13,5,7,26.9,51.16666667,0
23.44112005,14,5,7,27.6,48.33333333,0
19.79991446,15,5,7,28.3,45.5,0
20.72357483,16,5,7,29,42.66666667,0
19.44113722,17,5,7,29.7,39.83333333,0
21.22128296,18,5,7,30.4,37,0
21.22128296,19,5,7,29.53333333,39.33333333,0
21.22128296,20,5,7,28.66666667,41.66666667,0
21.22128296,21,5,7,27.8,44,0
21.22128296,22,5,7,26.93333333,46.33333333,0
